City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
591,Tigre,AR,-34.426,-58.5796,55.27,95,100,10.36,light intensity drizzle
592,Velyka Lepetykha,UA,47.1757,33.9436,86.94,36,67,10.78,broken clouds
593,Flinders,AU,-34.5833,150.8552,58.17,92,100,3.0,light rain
594,Muros,ES,42.7762,-9.0603,82.83,52,0,15.77,clear sky
595,Keti Bandar,PK,24.1447,67.4497,86.05,74,60,11.34,light rain
596,Sasni,IN,27.7167,78.0833,98.78,36,58,4.99,broken clouds
597,Jolo,PH,6.05,121.0167,77.95,89,75,2.86,broken clouds
598,Bedele,ET,8.456,36.353,62.49,92,59,5.01,light rain
599,Eydhafushi,MV,5.1033,73.0708,82.6,81,99,14.7,overcast clouds
600,Bilma,NE,18.6853,12.9164,104.83,8,0,10.56,clear sky
601,Mayumba,GA,-3.432,10.6554,73.56,78,41,10.11,scattered clouds
602,Xai-Xai,MZ,-25.0519,33.6442,67.77,75,0,7.49,clear sky
603,Bahia Blanca,AR,-38.7196,-62.2724,55.99,58,100,15.08,overcast clouds
604,Moa,CU,20.6569,-74.9403,84.22,63,17,13.67,few clouds
605,Catamarca,AR,-28.4696,-65.7852,75.58,34,36,2.64,scattered clouds
606,Filadelfia,US,39.9523,-75.1638,90.01,64,75,10.36,broken clouds
607,Mayo,US,38.8876,-76.5119,89.94,65,20,5.75,few clouds
608,Katete,UG,-0.7818,29.7544,80.19,32,14,5.7,few clouds
